Financial Institution Name,total_assets,defaulter,Failure_Assistance ,log_TA,NI_to_TA,Equity_to_TA,NPL_to_TL,REO_to_TA,ALLL_to_TL,core_deposits_to_TA,brokered_deposits_to_TA,liquid_assets_to_TA,loss_provision_to_TL,ROA,NIM,assets_growth,term_spread,stock_mkt_growth,real_gdp_growth,unemployment_rate_change,treasury_yield_3m,bbb_spread,bbb_spread_change,log_TA_plus_1Q,NI_to_TA_plus_1Q,Equity_to_TA_plus_1Q,NPL_to_TL_plus_1Q,REO_to_TA_plus_1Q,ALLL_to_TL_plus_1Q,core_deposits_to_TA_plus_1Q,brokered_deposits_to_TA_plus_1Q,liquid_assets_to_TA_plus_1Q,loss_provision_to_TL_plus_1Q,ROA_plus_1Q,NIM_plus_1Q,assets_growth_plus_1Q,max_total_assets
COLORADO NATIONAL BANK,142138,1,FAILURE,-0.048734057,-6.505183291,-0.759562142,0.880756422,-0.162300906,-0.039358129,-1.594098688,-0.182974509,0.095379526,0.003639607,-6.505183291,-0.55401654,0.365435653,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,-0.069667159,-0.36790535,-0.795966157,2.013862174,-0.066290479,0.294916291,-2.007894195,-0.182974509,0.106776203,0.004823069,-0.36790535,-0.840312467,-0.582231705,142138
"COMMUNITY BANK, NATIONAL ASSOCIATION",6364903,0,,2.754851923,0.143004658,0.249274954,-0.405930701,-0.327267647,-0.244766215,0.26512512,-0.150769799,0.229372425,-0.003401315,0.143004658,-0.109969538,1.447333496,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,2.767995902,0.205816432,0.236030904,-0.388326569,-0.335160405,-0.245809936,0.283317592,-0.156055902,0.318975996,-0.003056626,0.205816432,-0.140365391,0.003962247,8494486
"NEXBANK, SSB",784781,0,,1.211269162,0.229021279,-0.301031116,-0.750448955,-0.304600227,-0.661804081,-2.362597231,-0.182974509,-0.473224546,-0.002683633,0.229021279,-0.783150489,1.466905469,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,1.241315215,0.470934653,-0.24225348,-0.809730423,-0.374868225,-0.673111361,-1.386875448,-0.182974509,-0.630034403,-0.003505596,0.470934653,-0.799310246,0.28481489,2698563
COMMERCE BANK/SHORE NATIONAL ASSOCIATION,2173481,0,,1.962490121,0.253469207,-0.922809548,-0.752942062,-0.374868225,-0.260531811,1.438397478,-0.182974509,1.850472963,-0.002770726,0.253469207,-0.099538836,0.459243095,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,2.043363389,0.22545422,-1.039013234,-0.740466969,-0.374868225,-0.249209645,1.427099027,-0.182974509,2.028525779,-0.002818639,0.22545422,-0.324275652,1.091618466,2697759
CENTENNIAL BANK,241440,1,FAILURE,0.341980973,-1.857314962,-0.643991935,4.583629868,10.67817512,0.926358548,-2.17512592,-0.182974509,-1.471494091,0.041008638,-1.857314962,-1.160576285,1.145982407,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.315538217,-0.945864501,-0.67721736,4.701456571,12.48502228,-0.786735457,-1.679304538,-0.182974509,-1.41756098,-0.004325596,-0.945864501,-1.657426771,-0.679578648,241440
"HUNTINGTON NATIONAL BANK, THE",27399278,0,,3.831313471,0.017433692,-1.027311832,-0.217299763,-0.345598632,0.090154401,-0.84725684,-0.182974509,-1.026590271,-0.001689881,0.017433692,-2.279357784,0.206512405,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,3.841315891,0.196791571,-1.031868887,-0.264673883,-0.327869574,-0.008600151,-0.878204809,-0.182974509,-0.997418243,-0.000177832,0.196791571,-0.589442058,-0.048952505,70879778
SUN WEST BANK,408185,1,FAILURE,0.729212998,-4.605855198,-0.730065866,3.971999661,0.165296844,1.874159878,-1.014031076,-0.182974509,-0.857951622,0.077197074,-4.605855198,-0.181501201,-0.921276186,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.6947705,-5.016062597,-1.206242798,5.974006248,2.066344024,2.953148465,-0.399961446,-0.182974509,-0.837529938,0.083667179,-5.016062597,-0.231378968,-0.822222484,455864
INTERNATIONAL BANK OF COMMERCE,9359919,0,,3.039238489,0.166162262,-0.16555727,-0.196154854,-0.361847273,-0.342936593,-1.494441728,-0.182974509,0.253269276,-0.003666111,0.166162262,-0.531784532,-0.325523047,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,3.039497654,0.187921972,-0.173253902,-0.245001856,-0.345351239,-0.305674614,-1.518992946,-0.182974509,0.225380533,-0.002651334,0.187921972,-0.467882693,-0.21450369,10638109
NORTH HOUSTON BANK,351092,1,FAILURE,0.618100528,-1.017858486,-0.105100018,0.150634259,1.371875919,-0.058600357,-2.021985272,-0.182974509,-1.516192848,-0.010436642,-1.017858486,0.230058799,-3.22897099,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.620070201,-0.136293291,-0.156389901,1.045611472,1.567041755,-0.078162828,-1.999909249,-0.182974509,-1.098274782,-0.007635141,-0.136293291,-0.74267886,-0.18528131,465115
"STATE FARM BANK, FSB",14926411,0,,3.383400811,-0.226547193,0.003553579,-0.18248753,-0.286611053,0.548493273,-2.60225501,13.60879794,-0.224626311,-0.00067517,-0.226547193,-0.604509553,0.560894722,0.341183251,0.569671897,1.42042865,-1.111272452,-0.956664383,0.216947223,0.41736579,3.423772589,-0.162268538,-0.106680853,-0.212910115,-0.291148263,0.511113992,-2.722284776,13.51601592,-0.097556372,0.000668513,-0.162268538,-0.579807823,0.453251184,17428588
FIRST NATIONAL BANK ALASKA,2050443,0,,1.919516129,0.534510945,1.702640444,-0.154481372,-0.286863225,-0.525357696,-0.780587705,-0.182974509,0.776946354,-0.004802724,0.534510945,1.396911783,-0.026409775,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,1.889003954,0.506627678,1.900217458,-0.267422726,-0.286725932,-0.577356442,-0.616767446,-0.182974509,0.71901274,-0.0057569,0.506627678,1.408468199,-0.751947304,3637671
"FIRST COMMUNITY BANK, NATIONAL ASSOCIATION",2174947,0,,1.962987355,-0.113859363,-0.244504289,-0.444574868,-0.220822831,-0.082488713,-0.608661688,-0.182974509,-0.122886751,0.00012739,-0.113859363,-0.512210553,-0.187505583,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,1.995155115,-0.977521874,-0.135037652,-0.361287816,-0.21352797,-0.120334089,-0.963419199,-0.182974509,-0.29823292,0.001714319,-0.977521874,-0.445336346,0.319617583,2787580
CHEMICAL BANK,3991177,0,,2.410676873,-0.177700019,0.023205633,0.832061123,0.028115679,0.544300666,0.245188233,-0.182974509,-0.689628469,0.006908375,-0.177700019,0.061781283,-0.145476433,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,2.458881966,-0.176964227,-0.088266732,0.902611524,0.032220527,0.719903178,0.357458187,-0.182974509,-0.389713342,0.006142807,-0.176964227,-0.154723787,0.579466517,9166710
FIRST BANK & TRUST,3040806,0,,2.210118693,0.020863544,0.295124077,-0.411563599,-0.358196225,0.111451174,0.50259113,-0.182974509,-0.936100453,0.000238909,0.020863544,0.745227388,0.075626159,1.268157749,-1.707008993,-0.119978449,0.202648562,0.06690187,0.216947223,0.161157207,2.227719786,0.09828198,0.254250174,-0.241074195,-0.367755555,0.215473956,0.53519264,-0.182974509,-0.896772851,0.002326737,0.09828198,0.748641201,0.078649741,3114256
CITIZENS BANK NEW HAMPSHIRE,9977966,0,,3.08639266,0.199679298,-0.529912738,-0.686267448,-0.211919511,-0.708721462,-1.0193346,-0.182974509,0.216320524,-0.002581486,0.199679298,-0.843708632,-0.480906704,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,3.093722312,0.331722501,-0.655163408,-0.657769415,-0.211379056,-0.728629956,-0.898926875,-0.182974509,0.242267563,-0.003858652,0.331722501,-0.902519008,-0.094148993,10185131
FIRST SECURITY BANK,2981850,0,,2.195680479,0.265372677,-0.343097599,-0.223558526,0.304917347,0.009262745,-0.55796932,-0.182974509,0.570076331,0.002904345,0.265372677,0.105152026,0.142780984,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,2.214219377,0.285030583,-0.35079485,-0.193184559,0.357814527,0.360584222,-0.559503366,-0.182974509,0.693103051,0.009726943,0.285030583,0.12988823,0.094307069,4903891
COMMUNITY SECURITY BANK,120106,1,FAILURE,-0.172937301,-1.295711955,-0.644472358,6.976619867,2.07668658,2.154138126,-0.200927691,-0.182974509,-1.07965597,0.018701237,-1.295711955,-1.657792894,-0.375992595,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,-0.211912675,-2.914590883,-0.894470709,7.046163317,2.863011812,0.777837583,-0.238021199,-0.182974509,-0.95673461,0.062073981,-2.914590883,-1.761814108,-0.903737921,121601
"ASSOCIATED BANK, NATIONAL ASSOCIATION",10022493,0,,3.089676212,0.3229758,-0.643489367,-0.448138352,-0.271650246,0.061279302,-1.148541711,-0.182974509,-0.302732241,-0.002444898,0.3229758,-0.327752739,-0.213907784,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,3.10591309,0.334454082,-0.627433118,-0.398332628,-0.258212469,0.11281042,-1.229037791,-0.182974509,-0.208572312,-0.002141113,0.334454082,-0.395103642,0.055837621,27567209
BRANCH BANKING AND TRUST COMPANY OF VIRGINIA,12235002,0,,3.236773631,0.884281235,-0.435633083,-0.457108815,-0.30375373,-0.081854068,0.031517743,-0.182974509,0.884257609,-0.003932734,0.884281235,-0.333240216,-1.436601885,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,3.132033524,-0.579768672,-0.459609816,-0.432785785,-0.292656302,-0.111550525,0.773871683,-0.182974509,0.17296454,-0.003526217,-0.579768672,-0.272819477,-2.144538482,25466722
GLACIER BANK,1155332,0,,1.496467423,0.476099035,-0.122452579,-0.676030211,-0.374868225,-0.132190649,-1.651410699,-0.182974509,-1.167715964,-0.000543223,0.476099035,1.48301236,2.432506938,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,1.516109433,0.287013187,-0.133751247,-0.139732917,-0.374868225,-0.031553209,-1.796957066,-0.182974509,-1.119728257,0.00160474,0.287013187,0.811354043,0.112698841,9067390
NORTHWEST SAVINGS BANK,6776415,0,,2.801052271,-0.003901393,-0.166315483,-0.274033978,-0.270827705,-0.522208479,0.484504023,-0.182974509,-0.333114652,-0.003336372,-0.003901393,-0.628140542,0.175241487,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,2.819450848,0.010841429,-0.218320615,-0.326499823,-0.269562745,-0.509251915,0.528676396,-0.182974509,-0.482463015,-0.003362637,0.010841429,-0.632008011,0.091965577,8993107
NATIONAL PENN BANK,5485371,0,,2.645183329,0.180330032,0.116398252,-0.660811225,-0.37250279,-0.004374933,-0.631131106,-0.182974509,-0.502430917,-0.003678892,0.180330032,-0.567436067,-0.048734329,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,2.659381746,0.18451562,0.076294441,-0.712916394,-0.368818798,-0.035187447,-0.54251717,-0.182974509,-0.490078261,-0.003414181,0.18451562,-0.576254937,0.021672161,9582579
TRUSTMARK NATIONAL BANK,9123634,0,,3.020383165,0.148194331,0.263280916,0.547817741,0.531923012,0.027508108,-0.146151448,-0.182974509,-0.532195268,-0.000598001,0.148194331,0.166823475,-0.274771301,1.08276285,-1.520346271,1.01858332,-0.782792199,-0.896454604,-0.053899292,0.41736579,3.034204153,0.134592555,0.251929229,0.530459967,0.449475896,-0.043512886,-0.323242671,-0.182974509,-0.44825111,8.03493E-05,0.134592555,0.144170404,0.015335925,12677017
FARMINGTON BANK,1753963,0,,1.804343388,-0.366827094,-0.191094555,-0.472391258,-0.309028697,-0.27561377,0.033568443,-0.182974509,-1.418656387,-0.004009148,-0.366827094,-0.486491575,0.27366991,-0.771186147,0.568346912,0.080944216,-0.782792199,-0.896454604,0.758640254,-0.095051377,1.83194597,-0.019884816,-0.233869767,-0.454672528,-0.346924432,-0.32947683,0.119999523,-0.182974509,-1.337860778,-0.003873788,-0.019884816,-0.447578164,0.244609995,2707619
"MILLENNIUM BANK, NA",148080,1,FAILURE,-0.018532547,-0.844284411,-2.046963001,-0.266948751,4.131484537,1.12649075,-0.175357646,-0.182974509,0.319989316,-0.004325596,-0.844284411,-1.036575957,-0.97353855,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,-0.036386254,-0.628940508,-2.119376964,-0.151348288,4.163045655,1.39211891,-0.116581474,-0.182974509,0.928830082,-0.004325596,-0.628940508,-1.220463753,-0.528139624,582741
TRISTATE CAPITAL BANK,1366834,0,,1.620438842,-0.68289458,-0.227678248,-0.635035046,-0.374868225,-0.257571586,-2.414274788,-0.182974509,-0.964796602,0.008672884,-0.68289458,-1.22703465,0.425459574,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,1.748889636,-0.375935253,-0.506694909,-0.534673781,-0.374868225,-0.236147745,-3.269607421,-0.182974509,-0.426560075,0.00567802,-0.375935253,-1.210198687,1.798076818,3236756
ADVANTA BANK CORP.,2961791,1,FAILURE,2.190702902,-3.21332648,-0.078539157,2.855131283,-0.374868225,13.28633421,-0.585546214,-0.182974509,2.524699071,0.178248053,-3.21332648,-3.019677391,-0.836241558,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,2.171159491,-10.04324777,-1.072359939,2.214028824,-0.374868225,14.1417801,-0.250186151,-0.182974509,1.869666848,0.318551036,-10.04324777,-2.003457794,-0.55779269,3106694
"COMMERCEBANK, NATIONAL ASSOCIATION",2685213,0,,2.118408143,0.238438844,-0.731167128,-0.044633916,-0.374868225,0.422944366,-0.101174495,-0.182974509,1.209121979,-0.004325596,0.238438844,0.049811809,0.241904241,1.268157749,-1.707008993,-0.119978449,0.202648562,0.06690187,0.216947223,0.161157207,2.155268165,0.167613592,-0.684775516,-0.237802269,-0.371913308,0.345339886,-0.01528248,-0.182974509,1.273667165,-0.00063293,0.167613592,0.091473517,0.396230831,8192933
BANK OF SMITHTOWN,1120634,0,,1.4739804,0.225579562,-0.44407602,-0.786252141,0.20174245,-0.527035904,0.496453436,-0.182974509,-1.586066688,-0.0036489,0.225579562,0.168126709,0.07842173,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,1.572368061,0.193338872,-0.336375404,-0.560397262,0.129723863,-0.551698753,-0.334039996,-0.182974509,-1.580028248,-0.002746013,0.193338872,-0.062031971,1.356997774,2667456
"BANK OF MIAMI, NATIONAL ASSOCIATION, THE",543833,1,FAILURE,0.94080199,-3.712431644,-0.875551592,5.603168107,1.142050593,2.299009681,-1.793671422,-0.182974509,-0.380119167,0.075404082,-3.712431644,-1.302600639,-1.714093409,1.08276285,-1.520346271,1.01858332,-0.782792199,-0.896454604,-0.053899292,0.41736579,0.869003958,-1.984675474,-0.964860292,5.326761107,1.256028481,1.858107273,-1.923872149,-0.182974509,-0.509487948,0.016122248,-1.984675474,-1.093393389,-1.509182668,1057364
KEYBANK NATIONAL ASSOCIATION,86748331,0,,4.681214831,0.07351436,-0.059665869,-0.187351037,-0.347326317,0.038047766,0.463221673,0.133626876,-0.531599074,-0.002223888,0.07351436,-0.68038121,-0.261849899,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,4.694231981,0.087127,-0.082906531,-0.262474548,-0.340033143,-0.002547142,0.459134923,0.138391677,-0.463943717,-0.003278086,0.087127,-0.724384348,0.00183036,101868610
FIRSTIER BANK,889370,1,FAILURE,1.303529914,-0.232068205,-1.441546348,5.411393214,2.785071402,2.463915236,-2.133684128,-0.182974509,-0.614288955,-0.004325596,-0.232068205,-1.176425445,0.075431123,1.08276285,-1.520346271,1.01858332,-0.782792199,-0.896454604,-0.053899292,0.41736579,1.233912903,-0.285322965,-1.376985181,5.686317575,4.319794767,1.791575409,-2.027675682,-0.182974509,-0.868007131,-0.004325596,-0.285322965,-1.285115976,-1.468110503,889370
"BAY VIEW BANK, NATIONAL ASSOCIATION",569722,0,,0.975097836,-2.758031766,12.80666977,1.694367017,0.130081125,-1.12946677,-5.129209811,-0.182974509,-0.605432479,-0.004325596,-2.758031766,0.123696401,-6.272178357,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,0.97188463,0.337862182,12.87352877,0.445588401,0.370504848,-1.12946677,-5.122431417,-0.182974509,-0.643489133,-0.004325596,0.337862182,0.420521133,-0.274034674,4846901
CITIZENS NATIONAL BANK,112640,1,FAILURE,-0.220264896,0.026265486,-0.576642995,0.663017631,-0.007897591,-0.275329346,-2.157519389,-0.182974509,-1.2622854,-0.004325596,0.026265486,0.782064726,0.137276696,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,-0.293711986,0.227661946,-0.410312412,0.605148128,0.056893717,-0.2592468,-1.942243067,-0.182974509,-1.741234225,-0.004325596,0.227661946,0.361957945,-1.540317862,112640
STATE BANK OF AURORA,31783,1,FAILURE,-1.153328537,-0.731980829,-0.753669083,3.233056569,0.730312793,1.499719997,1.31644177,-0.182974509,-0.893155207,0.009297154,-0.731980829,-0.438317757,-0.260224341,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,-1.21030121,-2.966118792,-0.968457614,3.380788261,1.291619422,2.590361843,1.228257111,-0.182974509,-1.06355578,0.050331391,-2.966118792,-0.033797774,-1.23237577,34168
OLD SOUTHERN BANK,373351,1,FAILURE,0.66343179,-2.130677225,-0.214704236,2.333901305,0.822145092,1.281675834,0.323614898,-0.182974509,-0.718726866,0.047891872,-2.130677225,-1.537816079,1.233087066,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.72590485,-0.470592467,-0.430039453,2.539376531,1.177191432,1.495942315,0.364310755,-0.182974509,-0.494678828,0.005842252,-0.470592467,-1.668403334,0.805944212,406358
BRAMBLE SAVINGS BANK,47283,1,FAILURE,-0.86040116,-3.589270136,-1.282392308,1.600155479,7.949788467,0.645274103,-0.905496626,-0.182974509,-1.437845176,-0.004325596,-3.589270136,-1.15942983,-2.096511721,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,-0.82671436,-0.634513426,-1.35358924,3.181037863,7.579942012,0.671108613,-1.176446396,-0.182974509,-1.111442638,-0.004325596,-0.634513426,-1.200815272,0.344473217,60047
S & T BANK,2873133,0,,2.16829115,0.347949398,-0.141355317,-0.540360997,-0.008775616,-0.017070607,-0.385578129,-0.182974509,-0.49715183,-0.002251846,0.347949398,-0.003438651,0.017009138,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,2.152636422,0.355599484,-0.1211752,-0.567543506,-0.022865569,-0.020780472,-0.250715994,-0.182974509,-0.63597759,-0.00270577,0.355599484,-0.041199172,-0.489650797,6297728
"U.S. TRUST COMPANY, NATIONAL ASSOCIATION",599342,0,,1.0124744,0.002371768,1.038180417,-0.596560377,-0.374868225,-0.614560008,0.700092091,-0.182974509,1.857528782,-0.004325596,0.002371768,-0.360016619,-0.008771064,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,1.115814682,0.471508734,0.712167518,0.405486051,-0.374868225,-0.60825706,0.527664414,-0.182974509,2.178627527,-0.004325596,0.471508734,-0.790145676,1.430904166,3545000
"AMERICAN SAVINGS BANK, F.S.B.",5371483,0,,2.629711218,0.124616664,-0.243433035,-0.43157196,-0.365516447,-0.428242819,1.184413577,-0.175973383,-1.107610201,-0.003798934,0.124616664,-0.241068457,0.080933209,0.341183251,0.42420515,1.487402872,-1.76823296,-0.956664383,-0.595592322,-0.35125996,2.636087278,0.042995423,-0.241079343,-0.492143729,-0.356992807,-0.419608667,1.189295403,-0.175461992,-1.165117314,-0.003797227,0.042995423,-0.255720847,-0.110313901,6014755
"MB FINANCIAL BANK, NATIONAL ASSOCIATION",8383166,0,,2.957963942,-0.200885652,0.352675821,0.580092057,-0.164790337,0.879672669,-0.855841009,-0.182974509,-1.255404778,0.004948402,-0.200885652,-0.686393931,-1.159886967,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,3.342007387,-0.182826873,-0.489751,1.030881744,-0.175821989,0.962608256,-0.159407481,-0.182974509,0.902799148,0.011042312,-0.182826873,-0.899706064,4.903052373,15536515
"BANK OF UNION, THE",387771,1,FAILURE,0.69137798,0.398324937,-0.380326175,10.82447277,-0.354552483,3.228755849,0.381127672,4.0338535,-0.636889513,-0.004325596,0.398324937,0.121257587,-0.035060644,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,0.693995846,0.273142522,-0.332096762,14.07930182,-0.354624474,3.340805555,0.420192699,3.339445706,-0.480438544,-0.004325596,0.273142522,-0.133266293,-0.174225248,414036
"KEY BANK USA, NATIONAL ASSOCIATION",7778293,0,,2.902737611,0.090485357,0.029184637,0.205973657,-0.330745888,0.150808386,-3.307059003,-0.182974509,-1.885732215,0.010734096,0.090485357,1.633420069,0.194103761,1.268157749,-1.707008993,-0.119978449,0.202648562,0.06690187,0.216947223,0.161157207,2.932574997,0.344026322,-0.008221505,0.287840657,-0.333410892,0.067927911,-3.419616639,-0.182974509,-1.878477207,0.001880512,0.344026322,1.77607543,0.281386676,10350425
PROVIDENT BANK OF MARYLAND,5987614,0,,2.709789614,0.161093392,-0.547413779,-0.548224796,0.135775048,-0.294918961,-0.882384255,-0.182974509,-0.271285141,-0.001626514,0.161093392,-0.167425717,-0.157705916,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,2.721944349,0.146514135,-0.608841932,-0.50393366,0.121078378,-0.222096893,-1.154380812,-0.182974509,-0.344028488,-0.000226628,0.146514135,-0.251491381,-0.012675744,6306831
AMERICAN MARINE BANK,378579,1,FAILURE,0.673686533,-8.042979411,-1.334554146,2.165155641,1.340284147,1.274032079,-0.202733027,-0.182974509,-0.820338123,0.145377792,-8.042979411,-0.245313817,-1.116415496,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.680592618,-0.31530483,-1.340246432,2.738649995,1.324296926,1.286526477,-0.233359667,-0.182974509,-0.71464394,-0.004325596,-0.31530483,-0.457855268,-0.101326547,418395
PROSPERAN BANK,214483,1,FAILURE,0.254674476,-3.91291326,-1.111460917,1.434602798,0.343733853,2.185334603,-0.148621617,-0.182974509,-0.7922663,0.064936761,-3.91291326,-0.021046676,-0.42006986,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.215432566,-0.363839004,-1.171142651,1.934402425,0.748047545,2.019167545,0.504408523,-0.182974509,-1.01840421,0.000288336,-0.363839004,-0.236852618,-0.908546683,228830
CENTER BANK,2198130,0,,1.970806266,-0.435392908,-0.322937268,0.204802915,-0.171935736,1.757258077,-1.870562212,-0.182974509,-0.425466035,0.010392723,-0.435392908,-0.746474609,-0.545040681,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,1.968129255,-1.913114962,0.147545313,0.574625886,-0.193837187,1.605885547,-1.716425187,-0.182974509,-0.300470703,0.02832916,-1.913114962,-0.677571794,-0.264823739,7910324
FIRST NATIONAL BANK,75838,1,FAILURE,-0.511996239,-0.408468151,0.253203447,-0.43478504,0.859439928,-0.558631572,-1.027858823,-0.182974509,-1.590273108,0.027634518,-0.408468151,3.267653907,1.331516556,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,-0.418981222,1.077500484,0.15362915,-0.326301222,0.734718501,-0.602796296,-1.272266761,-0.182974509,-1.499701994,-0.00326458,1.077500484,3.488288301,1.276260224,86033
HERITAGE BANK OF NORTH FLORIDA,126605,1,FAILURE,-0.134075926,-0.857743591,-1.427249306,4.111427206,5.553238448,2.186331848,-1.301419461,-0.182974509,-0.839375527,0.004926483,-0.857743591,-0.09101325,-1.041838603,-0.585791248,-0.51016622,-0.52182378,-0.125831691,-0.896454604,0.894063511,0.41736579,-0.130745863,-0.852795195,-1.514180619,4.39102057,5.648230225,2.942700475,-1.462696981,-0.182974509,-0.519959421,0.017460461,-0.852795195,-0.289675454,-0.162088698,193912
NEW YORK COMMUNITY BANK,43894323,0,,4.178847963,0.102800661,0.174548653,-0.521831123,-0.149390735,-0.723183764,-1.769266745,2.433508215,-0.914946393,-0.005356554,0.102800661,-1.00124135,0.024420021,0.341183251,0.42420515,1.487402872,-1.76823296,-0.956664383,-0.595592322,-0.35125996,4.194575963,0.103075824,0.136603597,-0.576000449,-0.166465352,-0.736311436,-1.691827149,2.259095562,-0.958027082,-0.004312734,0.103075824,-1.05992196,0.047317443,46472436
CHINATRUST BANK (U.S.A.),2606987,0,,2.09660565,-0.283023714,-0.208873416,2.667655868,-0.329576417,0.737409377,-1.82792392,-0.182974509,-0.643098228,0.001929899,-0.283023714,-1.086794181,-0.729727045,0.248485801,-1.207667738,-2.86592154,2.173530085,-0.053517689,1.435756541,1.185991541,2.084433019,-1.556418276,-0.316677364,3.32299095,-0.330955015,0.976325321,-2.029928028,-0.182974509,-0.515021006,0.032742888,-1.556418276,-1.188984304,-0.428937744,2832044
FIDELITY BANK,896472,1,FAILURE,1.30939534,-0.216242209,-1.226839039,2.791082353,1.608859555,1.654485425,-0.461328844,-0.182974509,-0.919231861,-3.66803E-05,-0.216242209,0.193198906,-0.462964628,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,1.261008527,-4.996155131,-1.706580006,3.123912509,1.673284624,3.452046411,-0.182168729,-0.182974509,-0.896181032,0.083629833,-4.996155131,0.414407901,-1.074593927,1119647
NEW LIBERTY BANK,123258,1,FAILURE,-0.153833763,-0.946761253,-1.282209428,3.59969462,1.659838267,0.628092542,-1.385832297,-0.182974509,-1.049405653,-0.000921047,-0.946761253,-1.374902362,-0.045731722,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,-0.221182035,-1.133219726,-1.31952795,3.079811034,2.269619802,0.522016398,-1.010845004,-0.182974509,-1.593610487,0.008971702,-1.133219726,-0.924400329,-1.425515175,123258
GE CAPITAL RETAIL BANK,30278916,0,,3.905010016,1.998278533,1.238022419,0.319965277,-0.374868225,1.686351764,-4.731105957,17.0440129,-1.665354336,0.027605411,1.998278533,8.558633909,0.70193308,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,3.986028514,0.416973994,1.00383898,0.225186349,-0.374868225,2.500908215,-4.040885938,12.67693647,-0.976859795,0.046466747,0.416973994,8.417616865,1.093845018,62858185
CF BANCORP,1922750,1,FAILURE,1.872098845,-2.000101394,-1.497135448,2.133195342,0.711318686,0.709756264,-1.4937809,-0.182974509,-0.669124948,0.016568867,-2.000101394,-0.690415946,-0.121448236,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,1.831397398,-5.329557819,-2.06232891,2.223117208,0.744988727,1.166409549,-1.144600358,-0.182974509,-0.633336255,0.073079044,-5.329557819,-0.732455634,-0.934910119,2091306
