Financial Institution Name,total_assets,defaulter,Failure_Assistance ,log_TA,NI_to_TA,Equity_to_TA,NPL_to_TL,REO_to_TA,ALLL_to_TL,core_deposits_to_TA,brokered_deposits_to_TA,liquid_assets_to_TA,loss_provision_to_TL,ROA,NIM,assets_growth,term_spread,stock_mkt_growth,real_gdp_growth,unemployment_rate_change,treasury_yield_3m,bbb_spread,bbb_spread_change,log_TA_plus_1Q,NI_to_TA_plus_1Q,Equity_to_TA_plus_1Q,NPL_to_TL_plus_1Q,REO_to_TA_plus_1Q,ALLL_to_TL_plus_1Q,core_deposits_to_TA_plus_1Q,brokered_deposits_to_TA_plus_1Q,liquid_assets_to_TA_plus_1Q,loss_provision_to_TL_plus_1Q,ROA_plus_1Q,NIM_plus_1Q,assets_growth_plus_1Q,max_total_assets
AMSOUTH BANK,38500534,0,,4.082159418,0.332679258,-0.302620336,-0.192398322,-0.279102753,-0.098542895,-0.502055672,-0.182974509,-0.43703173,0.000184325,0.332679258,0.462341222,-0.132311277,1.268157749,-1.707008993,-0.119978449,0.202648562,0.06690187,0.216947223,0.161157207,4.102819464,0.32835926,-0.336018504,-0.189002034,-0.281062617,-0.093068247,-0.474316407,-0.182974509,-0.438790975,6.17298E-06,0.32835926,0.326517216,0.129647777,53899220
SOUTHWEST BANK OF ST. LOUIS,4153225,0,,2.440026423,0.185224161,1.39537966,-0.271644257,-0.312653039,-0.20533577,-0.606493315,-0.182974509,-1.006887663,-0.003809655,0.185224161,-0.379405138,-0.199217397,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,2.446731395,0.184616444,1.43767637,-0.375197886,-0.146304419,-0.306808016,-1.05502238,-0.182974509,-1.046625579,-0.003818664,0.184616444,-0.333898627,-0.104735942,6509465
GEORGE WASHINGTON SAVINGS BANK,418991,1,FAILURE,0.748481653,-0.023710552,-0.193044974,1.120244089,-0.108543868,0.386313298,-0.033424862,-0.182974509,-1.605774932,0.004725169,-0.023710552,-0.175318315,0.185195693,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.727367915,-3.122263452,-0.420495265,3.675825059,0.019149468,0.376523247,0.32577242,-0.182974509,-1.666527179,0.082907584,-3.122263452,-0.089928501,-0.585411742,421461
"WACHOVIA CARD SERVICES, NATIONAL ASSOCIATION",2980730,0,,2.195403439,-0.353045083,4.452286863,0.051878702,-0.374868225,5.511650797,-5.128941501,-0.182974509,-1.975145231,0.102434603,-0.353045083,6.080152898,0.524484323,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,2.235736606,0.574813765,4.215256811,0.553115347,-0.374868225,6.143200923,-5.128897159,-0.182974509,-1.973850618,0.074771474,0.574813765,5.701966129,0.452625742,3148296
COLE TAYLOR BANK,3245050,0,,2.258058628,0.041944822,-0.204091068,0.174962401,-0.364843446,-0.028563228,-1.133863792,-0.182974509,-0.706832721,-0.001131614,0.041944822,-0.104581737,-0.74012308,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,2.268561842,0.125049248,-0.218533237,-0.083910967,-0.348316431,-0.013361377,-1.216965632,-0.182974509,-0.754074169,-0.002679686,0.125049248,-0.144101263,-0.040502295,5992882
"MID CITY BANK, INC.",178175,1,FAILURE,0.117904773,-10.21718468,-1.400477105,7.475819983,3.092041086,10.55730182,0.505103178,-0.182974509,1.019974422,0.204539532,-10.21718468,-0.751348524,-2.133015003,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,-0.050541776,-1.147042668,-1.28552423,6.784607986,4.661484465,10.89592582,0.789377884,2.645074749,0.549746704,0.001054068,-1.147042668,-0.238143423,-3.456760568,229029
"TRUST COMPANY OF NEW JERSEY, THE",4323294,0,,2.469621914,0.051014868,-0.839593592,-0.647005289,-0.247465108,-0.763655164,-0.318044389,-0.182974509,0.979487641,-0.003437409,0.051014868,-0.57024818,-0.173425909,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,2.462934146,0.071292543,-0.855449209,-0.630042196,-0.298028496,-0.77768548,-0.409764968,-0.182974509,0.56464669,-0.003274265,0.071292543,-0.663987573,-0.333884479,4410389
CITIZENS NATIONAL BANK,461002,1,FAILURE,0.818946695,0.102860469,-0.544421296,0.782245799,-0.374868225,-0.277824369,-2.084642177,-0.182974509,1.003824742,0.004683917,0.102860469,-0.459053864,-0.762804927,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,0.805053188,-3.258204387,-1.054249065,1.928999541,-0.336763278,-0.310004914,-2.105101008,-0.182974509,0.840362493,0.003712064,-3.258204387,-0.644592211,-0.458906729,480873
EAST BOSTON SAVINGS BANK,2379184,0,,2.029175463,-0.094557341,-0.439174443,-0.00658485,-0.293842225,-0.331355188,0.023946577,-0.182974509,-0.954450738,-0.002838083,-0.094557341,-0.52954697,0.448783398,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,2.063710539,-0.094424336,-0.466664997,-0.111630176,-0.308329301,-0.303349014,0.064114667,-0.182974509,-1.118250193,-0.0008226,-0.094424336,-0.550613311,0.358331037,3383340
WELLS FARGO FINANCIAL BANK,6294121,0,,2.746605098,-0.229629959,0.347848462,1.374935882,-0.337938035,5.48379247,-4.905011051,-0.182974509,-1.60096281,0.077976641,-0.229629959,9.882966458,0.39567231,0.248485801,-1.207667738,-2.86592154,2.173530085,-0.053517689,1.435756541,1.185991541,2.746827559,-4.450121514,0.593049359,1.923382722,-0.349136765,8.969857661,-4.904913783,-0.182974509,-1.589182766,0.176609912,-4.450121514,10.67014243,-0.215131492,6294121
